Sl,pile,image_path,BMA_label
0,B1,B1 (103).JPG,2
1,B1,B1 (106).JPG,2
2,B1,B1 (107).JPG,2
3,B1,B1 (108).JPG,2
4,B1,B1 (110).JPG,2
5,B1,B1 (111).JPG,2
6,B1,B1 (112).JPG,2
7,B1,B1 (113).JPG,2
8,B1,B1 (114).JPG,2
9,B1,B1 (115).JPG,2
10,B1,B1 (116).JPG,2
11,B1,B1 (119).JPG,2
12,B1,B1 (120).JPG,2
13,B1,B1 (121).JPG,2
14,B1,B1 (28).JPG,2
15,B1,B1 (29).JPG,2
16,B1,B1 (30).JPG,2
17,B1,B1 (32).JPG,2
18,B1,B1 (37).JPG,2
19,B1,B1 (39).JPG,2
20,B1,B1 (43).JPG,2
21,B1,B1 (44).JPG,2
22,B1,B1 (47).JPG,2
23,B1,B1 (49).JPG,2
24,B1,B1 (50).JPG,2
25,B1,B1 (51).JPG,2
26,B1,B1 (52).JPG,2
27,B1,B1 (53).JPG,2
28,B1,B1 (54).JPG,2
29,B1,B1 (58).JPG,2
30,B1,B1 (59).JPG,2
31,B1,B1 (60).JPG,2
32,B1,B1 (62).JPG,2
33,B1,B1 (65).JPG,2
34,B1,B1 (66).JPG,2
35,B1,B1 (67).JPG,2
36,B1,B1 (69).JPG,2
37,B1,B1 (7).JPG,2
38,B1,B1 (70).JPG,2
39,B1,B1 (71).JPG,2
40,B1,B1 (74).JPG,2
41,B1,B1 (75).JPG,2
42,B1,B1 (76).JPG,2
43,B1,B1 (77).JPG,2
44,B1,B1 (8).JPG,2
45,B1,B1 (80).JPG,2
46,B1,B1 (81).JPG,2
47,B1,B1 (82).JPG,2
48,B1,B1 (83).JPG,2
49,B1,B1 (84).JPG,2
50,B1,B1 (85).JPG,2
51,B1,B1 (87).JPG,2
52,B1,B1 (88).JPG,2
53,B1,B1 (89).JPG,2
54,B1,B1 (9).JPG,2
55,B1,B1 (91).JPG,2
56,B1,B1 (92).JPG,2
57,B1,B1 (93).JPG,2
58,B1,B1 (94).JPG,2
59,B1,B1 (95).JPG,2
60,B1,B1 (96).JPG,2
61,B1,B1 (97).JPG,2
62,B1,B1 (98).JPG,2
63,B1,B1 (99).JPG,2
64,B1,B1 (10).JPG,2
65,B1,B1 (100).JPG,2
66,B1,B1 (101).JPG,2
67,B1,B1 (102).JPG,2
68,B1,B1 (103).JPG,2
69,B1,B1 (104).JPG,2
70,B1,B1 (105).JPG,2
71,B1,B1 (106).JPG,2
72,B1,B1 (107).JPG,2
73,B1,B1 (108).JPG,2
74,B1,B1 (109).JPG,2
75,B1,B1 (11).JPG,2
76,B1,B1 (110).JPG,2
77,B1,B1 (111).JPG,2
78,B1,B1 (112).JPG,2
79,B1,B1 (113).JPG,2
80,B1,B1 (114).JPG,2
81,B1,B1 (115).JPG,2
82,B1,B1 (116).JPG,2
83,B1,B1 (117).JPG,2
84,B1,B1 (118).JPG,2
85,B1,B1 (119).JPG,2
86,B1,B1 (12).JPG,2
87,B1,B1 (120).JPG,2
88,B1,B1 (121).JPG,2
89,B1,B1 (122).JPG,2
90,B1,B1 (123).JPG,2
91,B1,B1 (124).JPG,2
92,B1,B1 (125).JPG,2
93,B1,B1 (126).JPG,2
94,B1,B1 (127).JPG,2
95,B1,B1 (128).JPG,2
96,B1,B1 (129).JPG,2
97,B1,B1 (13).JPG,2
98,B1,B1 (130).JPG,2
99,B1,B1 (131).JPG,2
100,B1,B1 (132).JPG,2
101,B1,B1 (133).JPG,2
102,B1,B1 (134).JPG,2
103,B1,B1 (135).JPG,2
104,B1,B1 (136).JPG,2
105,B1,B1 (137).JPG,2
106,B1,B1 (138).JPG,2
107,B1,B1 (139).JPG,2
108,B1,B1 (14).JPG,2
109,B1,B1 (140).JPG,2
110,B1,B1 (141).JPG,2
111,B1,B1 (142).JPG,2
112,B1,B1 (143).JPG,2
113,B1,B1 (144).JPG,2
114,B1,B1 (145).JPG,2
115,B1,B1 (146).JPG,2
116,B1,B1 (147).JPG,2
117,B1,B1 (148).JPG,2
118,B1,B1 (149).JPG,2
119,B1,B1 (15).JPG,2
120,B1,B1 (150).JPG,2
121,B1,B1 (151).JPG,2
122,B1,B1 (152).JPG,2
123,B1,B1 (153).JPG,2
124,B1,B1 (154).JPG,2
125,B1,B1 (155).JPG,2
126,B1,B1 (156).JPG,2
127,B1,B1 (157).JPG,2
128,B1,B1 (158).JPG,2
129,B1,B1 (159).JPG,2
130,B1,B1 (16).JPG,2
131,B1,B1 (160).JPG,2
132,B1,B1 (161).JPG,2
133,B1,B1 (162).JPG,2
134,B1,B1 (163).JPG,2
135,B1,B1 (164).JPG,2
136,B1,B1 (165).JPG,2
137,B1,B1 (166).JPG,2
138,B1,B1 (167).JPG,2
139,B1,B1 (168).JPG,2
140,B1,B1 (169).JPG,2
141,B1,B1 (17).JPG,2
142,B1,B1 (170).JPG,2
143,B1,B1 (171).JPG,2
144,B1,B1 (172).JPG,2
145,B1,B1 (173).JPG,2
146,B1,B1 (174).JPG,2
