Sl,pile,image_path,BMA_label
0,A1,A1 (10).JPG,3
1,A1,A1 (100).JPG,3
2,A1,A1 (101).JPG,3
3,A1,A1 (102).JPG,3
4,A1,A1 (103).JPG,3
5,A1,A1 (104).JPG,3
6,A1,A1 (105).JPG,3
7,A1,A1 (106).JPG,3
8,A1,A1 (107).JPG,3
9,A1,A1 (108).JPG,3
10,A1,A1 (109).JPG,3
11,A1,A1 (11).JPG,3
12,A1,A1 (112).JPG,3
13,A1,A1 (114).JPG,3
14,A1,A1 (115).JPG,3
15,A1,A1 (116).JPG,3
16,A1,A1 (117).JPG,3
17,A1,A1 (118).JPG,3
18,A1,A1 (119).JPG,3
19,A1,A1 (12).JPG,3
20,A1,A1 (121).JPG,3
21,A1,A1 (122).JPG,3
22,A1,A1 (123).JPG,3
23,A1,A1 (124).JPG,3
24,A1,A1 (125).JPG,3
25,A1,A1 (126).JPG,3
26,A1,A1 (128).JPG,3
27,A1,A1 (129).JPG,3
28,A1,A1 (13).JPG,3
29,A1,A1 (130).JPG,3
30,A1,A1 (131).JPG,3
31,A1,A1 (132).JPG,3
32,A1,A1 (135).JPG,3
33,A1,A1 (138).JPG,3
34,A1,A1 (139).JPG,3
35,A1,A1 (14).JPG,3
36,A1,A1 (140).JPG,3
37,A1,A1 (141).JPG,3
38,A1,A1 (15).JPG,3
39,A1,A1 (16).JPG,3
40,A1,A1 (17).JPG,3
41,A1,A1 (23).JPG,3
42,A1,A1 (24).JPG,3
43,A1,A1 (25).JPG,3
44,A1,A1 (26).JPG,3
45,A1,A1 (27).JPG,3
46,A1,A1 (28).JPG,3
47,A1,A1 (29).JPG,3
48,A1,A1 (3).JPG,3
49,A1,A1 (30).JPG,3
50,A1,A1 (31).JPG,3
51,A1,A1 (32).JPG,3
52,A1,A1 (33).JPG,3
53,A1,A1 (34).JPG,3
54,A1,A1 (35).JPG,3
55,A1,A1 (36).JPG,3
56,A1,A1 (37).JPG,3
57,A1,A1 (38).JPG,3
58,A1,A1 (39).JPG,3
59,A1,A1 (4).JPG,3
60,A1,A1 (40).JPG,3
61,A1,A1 (41).JPG,3
62,A1,A1 (42).JPG,3
63,A1,A1 (43).JPG,3
64,A1,A1 (45).JPG,3
65,A1,A1 (46).JPG,3
66,A1,A1 (49).JPG,3
67,A1,A1 (5).JPG,3
68,A1,A1 (50).JPG,3
69,A1,A1 (51).JPG,3
70,A1,A1 (53).JPG,3
71,A1,A1 (54).JPG,3
72,A1,A1 (57).JPG,3
73,A1,A1 (58).JPG,3
74,A1,A1 (59).JPG,3
75,A1,A1 (6).JPG,3
76,A1,A1 (61).JPG,3
77,A1,A1 (62).JPG,3
78,A1,A1 (67).JPG,3
79,A1,A1 (7).JPG,3
80,A1,A1 (70).JPG,3
81,A1,A1 (72).JPG,3
82,A1,A1 (74).JPG,3
83,A1,A1 (75).JPG,3
84,A1,A1 (76).JPG,3
85,A1,A1 (77).JPG,3
86,A1,A1 (78).JPG,3
87,A1,A1 (79).JPG,3
88,A1,A1 (8).JPG,3
89,A1,A1 (81).JPG,3
90,A1,A1 (82).JPG,3
91,A1,A1 (85).JPG,3
92,A1,A1 (87).JPG,3
93,A1,A1 (88).JPG,3
94,A1,A1 (9).JPG,3
95,A1,A1 (96).JPG,3
96,A1,A1 (97).JPG,3
97,A1,A1 (98).JPG,3
98,A1,A1 (99).JPG,3
99,A2,A2 (101).JPG,3
100,A2,A2 (103).JPG,3
101,A2,A2 (105).JPG,3
102,A2,A2 (106).JPG,3
103,A2,A2 (107).JPG,3
104,A2,A2 (108).JPG,3
105,A2,A2 (109).JPG,3
106,A2,A2 (11).JPG,3
107,A2,A2 (110).JPG,3
108,A2,A2 (111).JPG,3
109,A2,A2 (112).JPG,3
110,A2,A2 (113).JPG,3
111,A2,A2 (114).JPG,3
112,A2,A2 (115).JPG,3
113,A2,A2 (116).JPG,3
114,A2,A2 (117).JPG,3
115,A2,A2 (118).JPG,3
116,A2,A2 (119).JPG,3
117,A2,A2 (12).JPG,3
118,A2,A2 (120).JPG,3
119,A2,A2 (121).JPG,3
120,A2,A2 (122).JPG,3
121,A2,A2 (123).JPG,3
122,A2,A2 (125).JPG,3
123,A2,A2 (126).JPG,3
124,A2,A2 (127).JPG,3
125,A2,A2 (13).JPG,3
126,A2,A2 (131).JPG,3
127,A2,A2 (133).JPG,3
128,A2,A2 (134).JPG,3
129,A2,A2 (135).JPG,3
130,A2,A2 (136).JPG,3
131,A2,A2 (137).JPG,3
132,A2,A2 (138).JPG,3
133,A2,A2 (139).JPG,3
134,A2,A2 (14).JPG,3
135,A2,A2 (141).JPG,3
136,A2,A2 (142).JPG,3
137,A2,A2 (143).JPG,3
138,A2,A2 (148).JPG,3
139,A2,A2 (149).JPG,3
140,A2,A2 (15).JPG,3
141,A2,A2 (150).JPG,3
142,A2,A2 (151).JPG,3
143,A2,A2 (152).JPG,3
144,A2,A2 (153).JPG,3
145,A2,A2 (154).JPG,3
146,A2,A2 (155).JPG,3
147,A2,A2 (156).JPG,3
148,A2,A2 (157).JPG,3
149,A2,A2 (158).JPG,3
150,A2,A2 (159).JPG,3
151,A2,A2 (16).JPG,3
152,A2,A2 (160).JPG,3
153,A2,A2 (161).JPG,3
154,A2,A2 (162).JPG,3
155,A2,A2 (167).JPG,3
156,A2,A2 (168).JPG,3
157,A2,A2 (169).JPG,3
158,A2,A2 (17).JPG,3
159,A2,A2 (170).JPG,3
160,A2,A2 (171).JPG,3
161,A2,A2 (172).JPG,3
162,A2,A2 (173).JPG,3
163,A2,A2 (174).JPG,3
164,A2,A2 (175).JPG,3
165,A2,A2 (176).JPG,3
166,A2,A2 (177).JPG,3
167,A2,A2 (178).JPG,3
168,A2,A2 (179).JPG,3
169,A2,A2 (18).JPG,3
170,A2,A2 (180).JPG,3
171,A2,A2 (182).JPG,3
172,A2,A2 (183).JPG,3
173,A2,A2 (184).JPG,3
174,A2,A2 (185).JPG,3
175,A2,A2 (186).JPG,3
176,A2,A2 (187).JPG,3
177,A2,A2 (188).JPG,3
178,A2,A2 (189).JPG,3
179,A2,A2 (19).JPG,3
180,A2,A2 (190).JPG,3
181,A2,A2 (191).JPG,3
182,A2,A2 (193).JPG,3
183,A2,A2 (194).JPG,3
184,A2,A2 (195).JPG,3
185,A2,A2 (196).JPG,3
186,A2,A2 (197).JPG,3
187,A2,A2 (198).JPG,3
188,A2,A2 (20).JPG,3
189,A2,A2 (200).JPG,3
190,A2,A2 (201).JPG,3
191,A2,A2 (202).JPG,3
192,A2,A2 (203).JPG,3
193,A2,A2 (204).JPG,3
194,A2,A2 (205).JPG,3
195,A2,A2 (207).JPG,3
196,A2,A2 (208).JPG,3
197,A2,A2 (209).JPG,3
198,A2,A2 (211).JPG,3
199,A2,A2 (212).JPG,3
200,A2,A2 (213).JPG,3
201,A2,A2 (214).JPG,3
202,A2,A2 (215).JPG,3
203,A2,A2 (216).JPG,3
204,A2,A2 (217).JPG,3
205,A2,A2 (218).JPG,3
206,A2,A2 (219).JPG,3
207,A2,A2 (22).JPG,3
208,A2,A2 (220).JPG,3
209,A2,A2 (221).JPG,3
210,A2,A2 (222).JPG,3
211,A2,A2 (223).JPG,3
212,A2,A2 (224).JPG,3
213,A2,A2 (225).JPG,3
214,A2,A2 (226).JPG,3
215,A2,A2 (227).JPG,3
216,A2,A2 (228).JPG,3
217,A2,A2 (229).JPG,3
218,A2,A2 (23).JPG,3
219,A2,A2 (230).JPG,3
220,A2,A2 (231).JPG,3
221,A2,A2 (233).JPG,3
222,A2,A2 (234).JPG,3
223,A2,A2 (235).JPG,3
224,A2,A2 (236).JPG,3
225,A2,A2 (237).JPG,3
226,A2,A2 (238).JPG,3
227,A2,A2 (239).JPG,3
228,A2,A2 (24).JPG,3
229,A2,A2 (240).JPG,3
230,A2,A2 (241).JPG,3
231,A2,A2 (242).JPG,3
232,A2,A2 (243).JPG,3
233,A2,A2 (244).JPG,3
234,A2,A2 (245).JPG,3
235,A2,A2 (247).JPG,3
236,A2,A2 (251).JPG,3
237,A2,A2 (255).JPG,3
238,A2,A2 (256).JPG,3
239,A2,A2 (26).JPG,3
240,A2,A2 (261).JPG,3
241,A2,A2 (263).JPG,3
242,A2,A2 (265).JPG,3
243,A2,A2 (266).JPG,3
244,A2,A2 (267).JPG,3
245,A2,A2 (268).JPG,3
246,A2,A2 (269).JPG,3
247,A2,A2 (27).JPG,3
248,A2,A2 (270).JPG,3
249,A2,A2 (271).JPG,3
250,A2,A2 (272).JPG,3
251,A2,A2 (273).JPG,3
252,A2,A2 (275).JPG,3
253,A2,A2 (276).JPG,3
254,A2,A2 (277).JPG,3
255,A2,A2 (278).JPG,3
256,A2,A2 (279).JPG,3
257,A2,A2 (28).JPG,3
